cryptocurrency,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,var_5,var_1,expected_shortfall_5,expected_shortfall_1,skewness,kurtosis,data_points
IOTA,-86.69400340715502,-15.099901242544146,100.17855091528796,-0.17069423630417657,-0.26422202806445816,-0.1532489548154044,-98.53183834586467,-8.445475186616406,-15.956585316496676,-13.289861076960849,-21.608702732552555,0.9500532765351515,9.390339254123049,3104
LTC,2080.7133333333336,19.159543052734797,103.35277090994663,0.16602886310311174,0.26484766179395536,0.19636614822834017,-97.5704989154013,-7.550889691931298,-14.16327553650685,-12.307997002461184,-21.305396398516137,4.417983964367792,79.47625874237406,4430
MX,20.7585508395141,3.6979783104024166,45.115515083597224,0.037636239046725535,0.05500645634604212,0.05547844823867475,-66.65612373463084,-4.478703189997104,-7.755441807873807,-6.4004736253168755,-9.012968120863341,0.5339322678947892,5.222889638318099,1308
ALL_CRYPTOS,134.33851747121795,3.886751125457266,137.797673933995,0.013692184139196857,0.022227129609458066,0.0388675366029661,-99.99993478260869,-8.369440036272959,-16.84653186152543,-14.757162673422124,-28.526904970119105,6.744817067352214,171.6167579601185,5627
XMR,148572.35275185067,58.96810639191721,185.98254218392046,0.3063088918076017,0.54873023035094,0.6337522641490907,-93.04598930481284,-8.818429246354118,-20.796439975302384,-17.83823627785753,-38.254664810284595,8.761137898753276,147.37099836762638,3970
CFX,-20.175588941785005,-4.245362095273353,124.36970397153269,-0.050216104853822524,-0.09690043407193037,-0.04835761943413843,-87.79096541456933,-8.996156218543504,-16.671569034748554,-13.705992393812142,-20.422786444548706,4.572924575226282,52.05230018996133,1308
SKR,12248.262426284753,79.58157746151745,102.02541165831764,0.7604142556301325,1.205298502426733,0.824889931313446,-96.47538955264278,-8.339300892065395,-14.882305075259774,-12.844884340885438,-21.90535378361802,0.5765198345587917,6.417536988307722,2072
AAVE,170.91562255285825,14.211860609635195,92.4083349199442,0.132151072954779,0.21049668159269574,0.15389693523746392,-92.3466122811751,-8.273774838625755,-15.510771222661818,-12.028044803678934,-19.15669997510721,0.3606348872702892,3.204309293273979,1889
TFUEL,-7.06221973094171,-0.749580377029746,109.9779200000724,-0.025001203669135913,-0.043400588250851684,-0.007712540538749181,-97.18981355932203,-8.251655578480733,-14.90898064839735,-12.755134163040788,-21.321227217736958,3.9542360588094665,51.57219544605626,2452
CHZ,642.9974508921878,24.70633407957976,107.96227705842207,0.21031729506124244,0.34600450669913635,0.2561780169221479,-96.44205375782879,-8.355692083869556,-15.966121382616258,-12.970651214885335,-22.896571817190843,2.297942470296123,27.178753107855314,2288
SYRUP,-41.5395165438025,-12.263326192039825,109.46934455613149,-0.13029516390980275,-0.20332378156733588,-0.13542756910837075,-90.55265683921836,-9.614234974969001,-17.99432016715466,-14.353324314012909,-23.785375584240896,0.5164461606368353,4.359310636027642,1033
GALA,-94.66910714285714,-38.20127195812746,446.76831341689507,-0.08998237061770818,-0.45986562359528693,-0.383806524879379,-99.5326277220878,-9.331600580810969,-16.677429364848866,-15.217678598141724,-28.351621674379647,34.35887843966919,1285.5456040548454,1534
XLM,8401.554864504666,41.09717652717051,110.98197994905956,0.35228400633252366,0.6389437093111932,0.42767667707047974,-96.09403254972875,-8.09843593951099,-15.438869231791658,-12.725984507664945,-20.698396324943406,3.4990407497445752,37.01823593619885,3251
PAXG,138.87436145445005,17.316366985986797,14.74062918589053,1.0390578850356913,1.3866574552529456,0.8897797830402349,-19.461407548303185,-1.2442989634654977,-2.3794184863814865,-2.044956946439115,-3.5721511274339695,-0.38193460888656533,12.002224809412166,1373
BSV,-75.75327142857144,-12.919755206818406,105.47343492933496,-0.14145509925617133,-0.2426296062213974,-0.13437082422900964,-96.15000340251785,-7.706072796034158,-13.880868024244574,-12.332967728191587,-21.116618104749477,5.660782267981967,103.21237269696017,2580
NEXO,359.27608915906785,14.922865710447496,83.81082165141007,0.1541908963044998,0.20959135954362113,0.1716976875374332,-86.91360917248255,-7.742402315484798,-14.723118713861162,-12.119191721280062,-20.48297725424183,0.28984425077910986,11.31800528174252,2761
ROSE,-43.430862831858406,-7.517658355963885,103.78341425081175,-0.09170693048277165,-0.1451115684100761,-0.07654057957225563,-98.21794397136863,-9.523236149939274,-15.463405644208553,-13.584191284211483,-20.798192889645463,0.4763244047794481,4.883339086471395,1836
MANA,361.9586868314275,20.499836018903018,103.69691569167179,0.1784029534100096,0.3227636907121794,0.20960661167687766,-97.80147608370703,-7.952854510530127,-13.929198877493782,-11.886063488276505,-18.902155525810812,3.6406959207143283,50.17464527007857,2067
IMX,-97.35850253807106,-46.13731402166953,96.29339741961131,-0.49990254068931406,-0.8043049234314527,-0.4720711934465148,-97.73380511703864,-8.892859567962047,-14.755217697142436,-12.691532350749702,-19.234023927418693,0.3090729014251241,2.6409394383622717,1479
LINK,4322.260976610586,37.53672703362643,101.26088391406496,0.35094229538609073,0.5737794921694892,0.4176062772610974,-89.88544731610337,-8.53641671901543,-15.57266195180625,-12.880989840207993,-20.302144341866775,0.924531646704948,7.776701201793652,2995
BTC,169902828.7012725,90.09216537431288,110.0019708879506,0.8008235185535418,1.451439173036319,0.967959381154142,-93.07432432432432,-6.297111365866743,-13.151648418445763,-11.055376328888045,-20.537098877774916,21.827309899124494,1014.428945315736,5627
USDC,-0.990099009900991,-0.09805374934529487,3.787529153079059,-0.5539373202288593,-0.5023069912740441,-0.010013678337685758,-9.791981132075778,-0.09990009990008542,-0.8183723399836202,-0.3811697035043018,-1.3536031954848922,-0.6850506753076617,134.698393679686,2555
EGLD,-70.70635188308039,-14.833608412159593,93.94966549365105,-0.17917688502357867,-0.26363641223954537,-0.1499275688995916,-98.93849757607855,-7.902963689189288,-13.12871742925584,-12.201373673351815,-20.953680573927674,0.7991673079357439,20.876722357976377,1926
SAND,114.20138240239118,10.39531680248167,116.30058689534104,0.07218636660910938,0.1259544241363897,0.10544069430648338,-98.58922943228835,-8.882084253518698,-16.321743337976216,-13.736685949836435,-22.3416363087278,2.7376714072686203,28.56663900299926,1940
ADA,-45.26915254237288,-5.094271005359452,86.39678415169182,-0.08211267438963506,-0.13196912477986025,-0.052036395354180164,-97.89823008849558,-7.82136043856389,-13.548377281947257,-11.427040850706566,-17.279576094745895,1.025530503429792,9.065173859898763,2904
FTT,-81.93924731182796,-16.984038453797666,108.67593218478369,-0.17468484578092927,-0.26878160028494213,-0.17067629384782487,-99.51023701593057,-7.843667178854513,-14.801882047554809,-12.904971295830773,-23.183505974795253,2.5019918294540613,46.45819078661937,2316
BNB,84952.26732673268,75.64098341840327,86.07466348790811,0.8555477353536033,1.3327406152201728,0.9450985017923041,-80.03502626970221,-6.6919635654017515,-13.117661758674068,-10.785000255743508,-18.651994900247452,2.224975686105608,24.679428845675282,3017
RUNE,662.2732661529343,26.36953397238635,115.07470723905777,0.21177141838615107,0.31650664062313516,0.2705369996528423,-97.47108161258603,-9.522853829137084,-17.839236505216576,-15.088407809584664,-26.49317985904308,0.024943687406889164,5.963199064390437,2186
HNT,132.64680295780775,10.776625635733716,3279.299338579834,0.0026763722153936116,0.10399446430043238,0.10996712206232377,-97.99861480075901,-9.3729920425719,-16.206382222507536,-15.103685002071693,-28.1178674766467,45.48947907454261,2072.183791479154,2078
POL,4024.9718531862195,49.758865611599305,113.61958934822137,0.4203400653493643,0.7127763217385913,0.5283196139833385,-94.1832638702082,-8.664700964826078,-15.832939550468073,-13.2510002542052,-22.06371182670671,1.8229437985622312,16.515729414117743,2320
XVG,20.680084109342147,3.69650441525442,118.87051082003673,0.014271869478401018,0.028175224003149497,0.045182472736413924,-81.81279578962254,-8.96110434043265,-14.714393657972968,-12.765978428834915,-19.069447046428635,4.046441068059143,38.17128577466742,1304
UNI,23.117189749496102,2.7774186111988897,104.15684022471414,0.007463922768025995,0.013197717372459792,0.03025453133240603,-91.80173973556019,-8.61075351906771,-14.602934115312557,-12.239639702922018,-18.82800244449098,2.79657711923589,33.574330644885706,1912
KCS,1905.464566929134,29.510808879554375,92.17897050243326,0.2984499472016578,0.48938294591549636,0.30016534935075295,-98.31517509727625,-7.404744787922358,-14.734258770990822,-11.505875271667616,-17.928577609766247,3.3883963128850243,43.63033530601274,2921
ICP,-99.29449154527144,-52.47844103251895,94.52829192438934,-0.5763188980088079,-0.9076676826792951,-0.5288523171646842,-99.23080476203569,-8.47047263626058,-14.30993627920423,-12.707360099952256,-20.346904527007894,0.7706296834017249,6.4401881163544585,1677
ATOM,-52.753483146067424,-7.516692420316462,86.77877644382524,-0.10966612817451891,-0.16226986147683933,-0.07852349784716114,-95.72538955087076,-7.855103767296573,-14.165220989576147,-11.945411668979581,-19.38881971687722,0.19639980368038576,5.054433052131473,2417
VET,-29.070023059185246,-3.1688041177471815,89.61161159364627,-0.057680070984390874,-0.08917671970055284,-0.03284993807297997,-96.4630164814105,-7.99143367043426,-14.906045754634794,-12.001771394040146,-19.477306126251467,0.3530414515086277,4.665126223671637,2687
OKB,3020.8274377114735,36.80065422954972,91.64427610844128,0.37973625530492094,0.6284448956871037,0.4055711014718051,-90.73786099650906,-6.700468017287789,-13.269906606404078,-10.845391675667807,-18.540621602646056,4.717672019708647,84.1218138412594,2766
CRO,-0.8658348187759901,-0.08889733239287878,87.51954500412151,-0.0238677809887438,-0.03698212582227545,-0.0009403059383814835,-94.5408603351955,-7.075953436440605,-13.805124560956672,-11.407975599047413,-19.28858535226493,2.2313939909496012,30.293655858296184,2463
SNX,-92.47717449825024,-37.02285258879233,104.46596051240358,-0.37354610437108865,-0.6260239627221068,-0.38968348779708034,-95.00749646356897,-8.595545056079533,-15.435818443999661,-12.868141149426654,-20.82732524630192,1.9965215977298951,25.2830751859875,1409
HBAR,90.48633456096142,7.395647335323008,103.02181687979521,0.052373832055578995,0.09888891532146402,0.07948212621312817,-93.04793024147182,-7.592503048432199,-13.071768066212428,-11.276682901293562,-18.03362365447744,3.5176979242447364,43.126919196695184,2275
XAUT,171.15120026672594,21.206700879759445,18.475625774467332,1.0395697073656056,1.2452305598112414,1.0701933704708744,-19.815765510142068,-1.2894154687824622,-2.7168285613383674,-2.5175766931994508,-4.8209523351119135,0.45809037260555274,57.13346139810877,1306
LDO,-77.55817051932355,-24.916342601896257,104.28592658577058,-0.25810138992972126,-0.4388871599968855,-0.284312259977454,-87.63724295207011,-9.01839173841425,-16.22562070335568,-13.183790280999402,-20.473313883797115,0.8310767738763759,5.187127705908301,1313
TUSD,-0.19090000000000495,-0.01877857063944388,4.3740579734484895,-0.4615344796282723,-0.5386413760699679,-0.00239540211762811,-7.839423076922938,-0.2299540918163645,-0.990000000000002,-0.6401235241614212,-1.2041828778306198,2.8935073254726915,58.13309631167498,2563
BAT,-10.614734299516915,-0.9036932503007189,99.93590325115531,-0.02905555616987082,-0.046898547047577024,-0.00964394496913997,-93.70576596947429,-8.957302662629015,-14.943157752792589,-12.996619581352716,-19.579402115190526,1.2284005003117757,11.34267947753091,3114
GLM,-9.569099216162979,-1.916302222361821,86.09774022509299,-0.04548670165004428,-0.0744730176292969,-0.025037182768557747,-76.53825272899138,-6.987850840294405,-13.404709129469397,-11.013100010855144,-16.848912857086816,2.627876764918032,26.82144407229325,1309
CAKE,292.4208824208824,19.88097870473524,103.59928240085017,0.17259751506337176,0.2638536869130808,0.20383243589263755,-97.5358932334348,-8.378397968089821,-16.29496937151156,-13.552302395689342,-23.138288796626032,1.0898376265521013,10.111764098705057,1899
COMP,-89.59524079856183,-24.775951830646992,92.6666045043704,-0.28894931430647347,-0.4568488567788539,-0.25424713276516836,-97.44830378689437,-8.38036974582942,-15.412106288325,-12.521202550431603,-18.75465239245755,0.8956856016952529,7.283829344237131,2002
